,afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,engineHours,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,stopPoint,workDistance,workDrivingDuration,workStopDuration,device,driver,id
29,0.0,00:00:00,False,False,00:00:00,12.807569,1.5973884,00:07:29,61836480.0,00:00:16,False,50,2022-06-06 15:32:15.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:08:51+00:00,2022-06-06 15:16:20+00:00,00:15:55.063000,"{'x': -73.7176284790039, 'y': 45.45543670654297}",1.5973884,00:07:29,00:15:55.063000,{'id': 'b66'},"{'id': 'b81', 'isDriver': True}",b13B48B3
30,0.0,00:00:00,False,False,00:00:00,2.6920812,0.032155413,00:00:43,60302880.0,00:00:11,False,3,2022-06-06 15:26:53.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:15:40+00:00,2022-06-06 15:16:23+00:00,00:10:30.063000,"{'x': -72.89502716064453, 'y': 45.510169982910156}",0.032155413,00:00:43,00:10:30.063000,{'id': 'b37'},UnknownDriverId,b13B46A2
31,0.0,00:00:00,False,False,00:00:00,44.82916,9.525412,00:12:44.937000,25302240.0,00:00:05,False,90,2022-06-06 15:23:38.127000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:04:10.063000+00:00,2022-06-06 15:16:55+00:00,00:06:43.127000,"{'x': -73.70764923095703, 'y': 45.58159255981445}",9.525412,00:12:44.937000,00:06:43.127000,{'id': 'bCA'},UnknownDriverId,b13B45D1
32,0.0,00:00:00,False,False,00:00:00,24.77115,11.167661,00:27:03,65608173.0,00:04:31,False,81,2022-06-06 15:21:46+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:50:12+00:00,2022-06-06 15:17:15+00:00,00:04:31,"{'x': -73.66615295410156, 'y': 45.44913864135742}",11.167661,00:27:03,00:04:31,{'id': 'b22'},UnknownDriverId,b13B4579
33,0.0,00:00:00,False,False,00:00:00,1.4439471,0.056128226,00:02:19.937000,5660779.937,00:04:24,False,4,2022-06-06 15:21:57+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:15:13.063000+00:00,2022-06-06 15:17:33+00:00,00:04:24,"{'x': -73.69815063476562, 'y': 45.45720291137695}",0.056128226,00:02:19.937000,00:04:24,{'id': 'bB8'},UnknownDriverId,b13B4587
34,0.0,00:00:00,False,False,00:00:00,33.757942,10.351845,00:18:23.937000,38386800.0,00:00:23,False,72,2022-06-06 15:32:48.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:59:16.063000+00:00,2022-06-06 15:17:40+00:00,00:15:08.063000,"{'x': -73.78370666503906, 'y': 45.527732849121094}",10.351845,00:18:23.936999,00:15:08.063000,{'id': 'b65'},UnknownDriverId,b13B482D
35,0.0,00:00:00,False,False,00:00:00,33.66476,17.841734,00:31:47.937000,9708947.937,00:08:57,False,98,2022-06-06 15:27:14+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:46:29.063000+00:00,2022-06-06 15:18:17+00:00,00:08:57,"{'x': -73.69807434082031, 'y': 45.45745849609375}",17.841734,00:31:47.937000,00:08:57,{'id': 'bB2'},"{'id': 'b53', 'isDriver': True}",b13B46DD
36,0.0,00:00:00,False,False,00:00:00,3.7515328,0.118732885,00:01:53.937000,3146760.0,00:00:36,False,8,2022-06-06 15:40:24.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:16:39.063000+00:00,2022-06-06 15:18:33+00:00,00:21:51.063000,"{'x': -70.70543670654297, 'y': 46.88798904418945}",0.118732885,00:01:53.937000,00:21:51.063000,{'id': 'bA8'},"{'id': 'b58', 'isDriver': True}",b13B49EC
37,0.0,00:00:00,False,False,00:00:00,7.5233164,0.25482517,00:02:01.937000,1958760.0,00:00:05,False,15,2022-06-06 15:22:27.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:17:16.063000+00:00,2022-06-06 15:19:18+00:00,00:03:09.063000,"{'x': -73.98953247070312, 'y': 45.12053680419922}",0.25482517,00:02:01.937000,00:03:09.063000,{'id': 'bE1'},UnknownDriverId,b13B458A
38,0.0,00:00:00,False,False,00:00:00,0.9119282,0.010385849,00:00:41,42387877.873,00:04:16,False,3,2022-06-06 15:23:41+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:18:44+00:00,2022-06-06 15:19:25+00:00,00:04:16,"{'x': -73.66566467285156, 'y': 45.49680709838867}",0.010385849,00:00:41,00:04:16,{'id': 'bC3'},"{'id': 'b132', 'isDriver': True}",b13B45C3
39,0.0,00:00:00,False,False,00:00:00,5.2707057,0.21522048,00:02:27,71181495.0,00:09:35,False,12,2022-06-06 15:29:12+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:17:10+00:00,2022-06-06 15:19:37+00:00,00:09:35,"{'x': -73.67311096191406, 'y': 45.49214553833008}",0.21522048,00:02:27,00:09:35,{'id': 'b6A'},UnknownDriverId,b13B4757
40,0.0,00:00:00,False,False,00:00:00,22.607775,9.985101,00:26:30,59622480.0,00:00:12,False,79,2022-06-06 15:21:44.127000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:53:19+00:00,2022-06-06 15:19:49+00:00,00:01:55.127000,"{'x': -73.70388793945312, 'y': 45.46757125854492}",9.985101,00:26:30,00:01:55.127000,{'id': 'bC6'},UnknownDriverId,b13B4555
41,0.0,00:00:00,False,False,00:00:00,81.128426,100.41896,01:14:16,57690720.0,00:00:08,False,107,2022-06-06 15:22:59.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:06:11+00:00,2022-06-06 15:20:27+00:00,00:02:32.063000,"{'x': -74.70699310302734, 'y': 45.04808807373047}",100.41896,01:14:16,00:02:32.063000,{'id': 'bA'},"{'id': 'b1BC', 'isDriver': True}",b13B45DB
